2,I'm quite tempted to do so for all of Magnus Chase ,Magnus Chase
2,"Magnus Chase and the Gods of Asgard, Book 1",Magnus Chase
2,https://t.co/kcUBlz7uQk https://t.co/BYAI4IOKVf ,Magnus Chase
2,Me ha llegado Magnus Chase and the Gods of Asgard: The Sword of Summer en tapa dura y estoy chillando ???? ,Magnus Chase
4,Rereading Magnus Chase and I still think it's as awesome as the first time. How can I bee as good writer as you @camphalfblood ? ,Magnus Chase
4,I'm off to an amazing adventure. ?? Current read: Magnus Chase and the Gods of Asgard: The Sword of Summer ,Magnus Chase
2,"RT @MsArdychan: My review of @camphalfblood Magnus Chase is now up on my blog: https://t.co/FGR8qBYv4Y #bookreview Fun, Fun, Fun! ",Magnus Chase
4,idc about the butt-in lines anymore I wanna read magnus chase my lines are tOO LONG ,Magnus Chase
4,"My review of @camphalfblood Magnus Chase is now up on my blog: https://t.co/FGR8qBYv4Y #bookreview Fun, Fun, Fun! ",Magnus Chase
4,Magnus Chase and the Gods of Asgard. (y) ,Magnus Chase
2,The ONLY reason why John bought Magnus Chase was to show it to Ange and I'm like what ,Magnus Chase
4,"He turned around, quite surprised by @HeLuvesWill's sudden appearance.",Magnus Chase
2,"Magnus Chase, Son of Frey. ",Magnus Chase
4,I want the Magnus Chase book huhu ,Magnus Chase
2,A pen sword. That is the stupidest thing I've ever heard. ,Magnus Chase
2,ay magnus chase lagot ka sa boyfriend kan pinsan mo haha ,Magnus Chase
4,though reading magnus chase is very very tempting I need to keep memorizing my lines frick naman oh bea ,Magnus Chase
4,?????????????? thanks @camphalfblood you've ruined my life I'm going to quietly read my tear stained copy of Magnus Chase in the corner now ?????????????? ,Magnus Chase
2,"[BUKU BARU] Magnus Chase &amp; The Gods of Asgard • @camphalfblood • Harga Rp 96.000,- • https://t.co/I5LQ17DLZF • https://t.co/KRUML60exQ ",Magnus Chase
2,"So many great new titles are being published this fall!  From the newest (""Magnus Chase and the Sword of Summer"")... https://t.co/Kd9ugWouOd ",Magnus Chase
4,RT @EricBeckerman: It never truly feels like October until I've got the new @camphalfblood book in my hands ?? Can't wait to start reading M… ,Magnus Chase
